orden_compra_nro,sku_variante,cantidad,costo_unitario_pactado
1,CHU-ÍND-XXL,107,12365.2
1,MUS-AZU-S,189,11747.79
1,JOG-ÍND-S,58,14939.49
1,JEA-NEG-unico,109,8315.84
1,REM-CEL-XXL,193,12577.68
1,SWE-MAR-L,189,12254.92
1,JOG-ÍND-XL,200,15350.45
2,CHU-NEG-XL,121,12386.77
2,CIN-ROS-unico,136,12067.67
2,JOG-CEL-L,74,15484.11
2,JOG-CEL-S,117,16225.56
2,GOR-GRI-M,167,10953.98
2,JOG-CEL-L,70,15803.53
2,SWE-MAR-S,142,12460.26
2,GOR-GRI-L,67,10390.67
2,JEA-NEG-XL,124,8735.65
3,CAM-CEL-S,143,13450.99
3,JOG-CEL-unico,103,15998.98
3,GOR-GRI-unico,68,11037.72
3,MUS-CEL-XXL,186,12578.03
3,MUS-CEL-unico,168,12125.97
3,SWE-MAR-unico,192,11994.84
3,CHU-NEG-M,64,12486.3
4,REM-VIO-XXL,104,12957.65
4,BUZ-NEG-unico,130,10896.41
4,CAM-BEI-XXL,151,14510.94
4,SWE-MAR-M,167,11894.99
4,MUS-CEL-L,113,12598.54
4,CAM-BLA-XL,117,14308.84
4,JOG-ÍND-S,199,15550.99
5,REM-BLA-XL,62,12889.63
5,MUS-CEL-M,90,12659.42
5,JOG-ÍND-S,66,15526.78
5,SWE-AZU-M,169,12397.5
5,BUZ-NEG-XL,52,11449.54
5,MUS-AZU-M,187,12606.15
5,CIN-TUR-unico,137,12080.06
5,JOG-ÍND-XXL,90,15640.86
5,GOR-GRI-XXL,117,11454.41
5,CIN-ROS-unico,95,12605.25
6,MUS-CEL-M,145,12621.19
6,CAM-BLA-L,185,14560.58
6,SWE-AZU-M,132,12344.8
6,MUS-AZU-M,142,12771.43
6,CIN-MAR-M,128,12249.63
6,JEA-NEG-M,195,8702.17
7,MUS-AZU-XXL,171,12859.5
7,MUS-CEL-XXL,117,12317.59
7,SWE-AZU-S,158,12963.77
7,CAM-BLA-L,101,14258.83
7,JOG-AZU-XL,145,15615.02
8,REM-VIO-XXL,136,11791.57
8,BUZ-NEG-XL,108,11340.91
8,REM-TUR-M,68,13273.65
8,REM-VIO-M,108,11852.17
8,REM-CEL-unico,134,12402.69
8,JEA-NEG-M,121,8458.98
9,CHU-ÍND-XXL,171,13268.91
9,JEA-LAV-L,74,7958.52
9,JOG-ÍND-XXL,140,15590.99
9,CAM-CEL-unico,63,14200.72
