ticket_nro,sku_variante,cantidad,precio_unitario_cobrado,costo_unitario_historico,subtotal,promocion_id
1,REM-BLA-XL,1,29410.17,13071.19,29410.17,2.0
1,JEA-NEG-unico,1,21871.44,8748.58,21871.44,
1,BUZ-NEG-S,1,29569.23,11827.69,29569.23,
1,CAM-BLA-L,1,36700.58,14680.23,36700.58,
1,CHU-VER-M,1,30441.04,13529.35,30441.04,2.0
2,JOG-CEL-L,1,41361.66,16544.66,41361.66,
3,REM-BLA-unico,1,32677.97,13071.19,32677.97,
3,SWE-MAR-S,1,32525.33,13010.13,32525.33,
3,JOG-CEL-XL,1,41361.66,16544.66,41361.66,
3,GOR-GRI-L,1,28716.74,11486.7,28716.74,
4,JOG-CEL-L,1,41361.66,16544.66,41361.66,
5,SWE-AZU-S,1,32525.33,13010.13,32525.33,
6,CIN-TUR-unico,1,33144.89,13257.96,33144.89,
6,JEA-NEG-XL,1,21871.44,8748.58,21871.44,
6,CIN-MAR-M,1,33144.89,13257.96,33144.89,
7,SWE-MAR-L,1,32525.33,13010.13,32525.33,
7,SWE-MAR-M,1,32525.33,13010.13,32525.33,
8,JOG-AZU-XL,1,41361.66,16544.66,41361.66,
8,MUS-CEL-L,1,32320.56,12928.22,32320.56,
8,REM-BLA-XL,1,32677.97,13071.19,32677.97,
8,MUS-AZU-M,1,32320.56,12928.22,32320.56,
8,MUS-CEL-unico,1,32320.56,12928.22,32320.56,
9,BUZ-NEG-XL,1,17741.54,11827.69,17741.54,7.0
9,GOR-ROJ-L,1,28716.74,11486.7,28716.74,
9,CIN-TUR-unico,1,19886.93,13257.96,19886.93,7.0
10,MUS-AZU-S,1,32320.56,12928.22,32320.56,
10,CHU-VER-L,1,33823.38,13529.35,33823.38,
10,CAM-BEI-M,1,36700.58,14680.23,36700.58,
10,MUS-CEL-M,1,32320.56,12928.22,32320.56,
10,MUS-CEL-unico,1,32320.56,12928.22,32320.56,
11,JEA-NEG-M,1,21871.44,8748.58,21871.44,
11,BUZ-NEG-unico,2,29569.23,11827.69,59138.46,
11,REM-BLA-unico,1,32677.97,13071.19,32677.97,
12,CHU-ÍND-L,1,33823.38,13529.35,33823.38,
12,SWE-AZU-S,1,32525.33,13010.13,32525.33,
13,JOG-ÍND-L,1,41361.66,16544.66,41361.66,
13,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
13,JEA-NEG-L,1,21871.44,8748.58,21871.44,
14,JEA-NEG-XL,1,21871.44,8748.58,21871.44,
15,CAM-BLA-L,1,36700.58,14680.23,36700.58,
15,BUZ-AZU-M,1,29569.23,11827.69,29569.23,
16,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
16,GOR-GRI-M,1,28716.74,11486.7,28716.74,
16,SWE-MAR-L,2,32525.33,13010.13,65050.66,
17,JEA-LAV-L,1,21871.44,8748.58,21871.44,
17,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
18,CIN-MAR-M,1,33144.89,13257.96,33144.89,
